webshop_name|brand|pc
JCPenney|Zeroxposur|40
Urban Outfitters|Columbia|40
Asos|Ymc|40
Kohls|Free Country|40
Nordstrom_SS|Alexander Wang|40
Matches Fashion|Adidas By Stella Mccartney|40
Bloomingdale's|Splendid|40
Nordstrom|Asics®|40
Sears|C2 Sport|40
Asos|Only|40
Saks Fifth Avenue|Mcq By Alexander Mcqueen|40
Asos|Baum Und Pferdgarten|40
Macy's|Opi|39
Farfetch|Band Of Outsiders|39
Sports Authority|Body Glove|39
Lord & Taylor|Vince Camuto|39
Bloomingdale's_SS|Bcbgmaxazria|39
Saks Fifth Avenue|Koral Activewear|39
Myntra|Dazzgear|39
Myntra|Superdry|39
qvc.com|Ryka|39
Sears|Devon & Jones Sport|39
Asos|Pull&Bear|39
Sears|Blue 84|39
Farfetch|Freecity|39
Asos|House Of Holland|39
Dillard's|Lucy|39
Bloomingdale's|Yummie By Heather Thomson|38
Nordstrom|Jack Spade|38
Shopbop|Adidas|38
Sears|Silvert'S|38
Macy's|Izod|38
Sears|Rabbit Skins|38
Myntra|Duke|38
Walmart|And1|38
Sears|Gary Majdell Sport|38
Net-A-Porter|Live The Process|38
Asos|Franklin & Marshall|38
Sears|Bolle|38
Dillard's|Michael Michael Kors|38
Asos|Farah|38
Farfetch|Iceberg|38
Neiman Marcus|Marc By Marc Jacobs|38
Urban Outfitters|Vans|37
Nordstrom|Alternative|37
Macy's|Rip Curl|37
Nordstrom|Speedo|37
Asos|Emma Cook|37
Asos|Minimum|37
Asos|Paul Smith|37
Asos|Ed Hardy|37
Farfetch|Paolo Pecora|37
Farfetch|Petit Bateau|37
Six:02|Puma|37
Six:02|Cw-X|37
Saks Fifth Avenue|Joie|37
carbon38|Solow|36
JCPenney|Uspa|36
JCPenney|T-Shirt|36
Farfetch|Yohji Yamamoto|36
Nordstrom|Maker & Company|36
Saks Fifth Avenue|Haute Hippie|36
Bluefly|So Low|36
Shopbop|Juicy Couture|36
Lord & Taylor|Helly Hansen|36
Target|Merona™|36
Saks Fifth Avenue|Michael Kors|36
Sports Authority|Pedal Pushers Club|36
Nordstrom_SS|Swell|36
Urban Outfitters|Asics|35
Urban Outfitters|Katin|35
Dillard's|Copper Key|35
Farfetch|Etoile Isabel Marant|35
Macy's|Inc|35
Saks Fifth Avenue|Tibi|35
Sears|180s|35
Bloomingdale's_SS|Hugo Boss|35
Farfetch|Tsumori Chisato|35
Farfetch|Aspesi|35
JCPenney|C Buk By Cutter And Buck|34
Kohls|Croft & Barrow|34
Net-A-Porter|L'Etoile Sport|34
Sears|Izod|34
Asos|Bcbgeneration|34
Asos|Le Coq Sportif|34
Farfetch|Soulland|34
Lord & Taylor|So Low|34
Macy's|Lacoste|34
Bloomingdale's|So Low|34
Sears|Scott Sports|34
Urban Outfitters|Undefeated|34
Sears|Lord Of The Rings - Hobbit|34
Myntra|Tshirtcompany|34
Net-A-Porter|Falke Ergonomic Sport System|34
Ralph Lauren|Rlx Golf|34
Shopbop|Wilt|34
Macy's|Roxy|33
JCPenney|Carter'S|33
Nordstrom|Tailor Vintage|33
Myntra|Riverstone|33
Sears|Gore Bike Wear|33
Net-A-Porter|Bodyism|33
Sports Authority|Yukon Gear|33
Sears|C2|33
Asos|Alice & You|33
Sports Authority|Guy Harvey|33
Neiman Marcus|Rag And Bone|33
Nordstrom|French Connection|33
Bloomingdale's|Vince|33
Farfetch|Rag And Bone|33
Nordstrom|Lole|33
Neiman Marcus|Haute Hippie|33
Saks Fifth Avenue|Current/Elliott|33
Saks Fifth Avenue|A.L.C.|33
Bloomingdale's|Peace Love World|32
Bloomingdale's|Pam & Gela|32
JCPenney|I Heart Ronson|32
Sears|Lucky In Love|32
Farfetch|Joseph|32
Farfetch|Kolor|32
Sears|Wireless|32
Shopbop|Derek Lam|32
Asos|The Hundreds|32
Sears|Erazor Bits|32
Farfetch|Woolrich|32
Farfetch|Giorgio Armani|32
Nordstrom|Adidas Originals|31
Farfetch|Herno|31
Sears|Joe Boxer|31
Nordstrom|Fairway & Greene|31
Sears|Tri-Mountain Performance|31
Asos|Boxfresh|31
Target|Hanes|31
Bloomingdale's_SS|True Religion|31
Farfetch|Michael Kors|31
Bloomingdale's_SS|2xist|31
Saks Fifth Avenue|Wilt|31
Dillard's|Cutter & Buck|31
Sears|Miles Kimball|30
Bloomingdale's|Robert Graham|30
Bloomingdale's_SS|Eileen Fisher|30
Myntra|Adidas Originals|30
Bluefly|Gottex|30
Nordstrom|Pink Lotus|30
Shopbop|Zara Terez|30
Nordstrom|Swc|30
Matches Fashion|Monreal London|30
Asos|Fred Perry|30
Myntra|Yepme|30
Farfetch|Kris Van Assche|30
Nordstrom|Wigwam|30
Saks Fifth Avenue|Ralph Lauren Black Label|30
Nordstrom|Billy Reid|30
Bloomingdale's|Calvin Klein Underwear|30
Farfetch|Bassike|30
Sports Authority|Hot Chillys|30
Shopbop|Swell|30
Saks Fifth Avenue|Fred Perry|30
Shopbop|Theory|30
Shopbop|David Lerner|30
Walmart|Jaco|30
Kohls|Chaps|29
Sports Authority|Bloom|29
Nordstrom|7 For All Mankind®|29
Net-A-Porter|Theory+|29
Sears|Union Made|29
Nordstrom|Reebok|29
Farfetch|Drome|29
Nordstrom|Blue Life|29
Farfetch|Belstaff|29
Six:02|New Balance|29
Macy's|Helly Hansen|29
Six:02|2xu|29
Sears|Independent Trading Co|29
Shopbop|James Perse|29
Asos|Antony Morato|29
Bloomingdale's_SS|Wacoal|29
Farfetch|Chloé|28
Net-A-Porter|Adidas Originals|28
Saks Fifth Avenue|Saks Fifth Avenue|28
Nordstrom|Nau|28
Nordstrom|Lija|28
Ralph Lauren|Polo Golf|28
Asos|Won Hundred|28
Lord & Taylor|Hugo Boss|28
Bloomingdale's_SS|Joie|28
Nordstrom_SS|Reebok|28
Bloomingdale's_SS|Theory|28
Kohls|Marika|28
Nordstrom_SS|Wildfox Couture|28
Asos|Minkpink|28
Asos|Polo Ralph Lauren|28
Bloomingdale's_SS|Spanx|28
Lord & Taylor|Jones New York Sport|28
Matches Fashion|Lucas Hugh|27
Net-A-Porter|Weargrace|27
Urban Outfitters|Champion|27
Sears|Alpinestars|27
Nordstrom|Moving Comfort|27
Dillard's|Marc New York|27
Lord & Taylor|Lacoste|27
Farfetch|Nuur|27
Shopbop|291|27
Saks Fifth Avenue|Versace|27
Walmart|Walmart|27
Macy's|Polo Ralph Lauren|27
JCPenney|Jack Nicklaus|27
Myntra|Lotto|27
Macy's|American Rag|27
Nordstrom|Maaji|27
Sears|Babolat|27
Nordstrom|Soybu™|27
Sears|Code V|27
Nordstrom|Jared Lang|27
Sears|Elvis Presley|27
Nordstrom_SS|Wayf|27
Farfetch|Roberto Cavalli|27
Saks Fifth Avenue|Wildfox Couture|27
Nordstrom_SS|Miraclesuit|27
Target|Freestyle By Danskin|27
Nordstrom|Nat Nast|26
Nordstrom|Kings Of Cole|26
Shopbop|Three Dots|26
Nordstrom|Ex Officio|26
Myntra|Nu9|26
Sears|15 Love|26
Nordstrom|Rebecca Minkoff|26
Sears|Amplify|26
Sears|Rothco|26
Sports Authority|Canari|26
Asos|Aka New York|26
Bloomingdale's|The Men'S Store At Bloomingdale'S|26
Bloomingdale's_SS|Splendid|26
Kohls|Nux|26
Nordstrom|Oiselle|26
Sears|Lole|26
Asos|Kappa|26
Farfetch|Champion|26
Lord & Taylor|Lord & Taylor|26
Bloomingdale's|Natori|25
Sears|Dyenomite|25
Myntra|American Swan|25
Farfetch|Versus|25
Nordstrom|Robert Talbott|25
Lord & Taylor|Bcbgmaxazria|25
Neiman Marcus|Badgley Mischka|25
Neiman Marcus|Valentino|25
Shopbop|Stella Mccartney|25
Neiman Marcus|Hanro|25
Bloomingdale's|Three Dots|25
Neiman Marcus|Peter Millar|25
JCPenney|Jamaica Bay|25
Nordstrom_SS|Splendid|25
Kohls|Izod|25
Matches Fashion|The Upside|25
Nordstrom|Southern Tide|25
Nordstrom|Burton|25
Ralph Lauren|Purple Label|25
Nordstrom|Rainforest|25
Sports Authority|Slalom|25
Six:02|Mizuno|25
Sports Authority|Dakota Grizzly|25
Neiman Marcus|Dolce & Gabbana|25
Neiman Marcus|Neon Buddha|25
Nordstrom_SS|Vince Camuto|25
Nordstrom_SS|Alo|25
Nordstrom_SS|Gramicci|25
carbon38|Alala|24
Asos|Splendid|24
Macy's|Topps|24
Asos|Billionaire Boys Club|24
Nordstrom|Sundek|24
Bloomingdale's_SS|The Kooples|24
Nordstrom|Rvca|24
Shopbop|Y-3|24
Nordstrom|Brooks|24
carbon38|Olympia|24
Six:02|Actra|24
Kohls|Towne By London Fog|24
Bloomingdale's_SS|Three Dots|24
Nordstrom|Boss Hugo Boss|24
Bloomingdale's_SS|Current/Elliott|24
Nordstrom|Reyn Spooner|24
Bluefly|Vintage Havana|24
Nordstrom|Faherty|24
Net-A-Porter|Ariat|24
Nordstrom|Vince Camuto|24
Sears|Betty Boop|24
Asos|Love Moschino|24
Bloomingdale's_SS|Y-3|24
Farfetch|Jil Sander|24
Bloomingdale's_SS|Bloomingdale'S|24
Farfetch|John Elliott + Co|24
Farfetch|Iro|24
Shopbop|Rag And Bone|24
Farfetch|Gucci|24
Nordstrom_SS|Marc New York|24
Nordstrom_SS|Joe'S Jeans|24
Saks Fifth Avenue|Vimmia|24
Shopbop|Current/Elliott|24
Nordstrom|Tailorbyrd|23
Bloomingdale's|Rhone|23
Sears|Wickers|23
Nordstrom_SS|The Kooples|23
Sears|Lotto|23
JCPenney|Black Label By Evan-Picone|23
Asos|Rvca|23
Net-A-Porter|The Upside|23
Bluefly|Adolfo Sanchez|23
Sears|Marmot|23
Myntra|Chromozome|23
Asos|Warehouse|23
Nordstrom|Tori Richard|23
Farfetch|James Long|23
Sears|Diamond Plate|23
Farfetch|Splendid|23
Sports Authority|Easton|23
Farfetch|Barbara Bui|23
Asos|Vila|23
Nordstrom_SS|Pj Salvage|23
Bluefly|Reason Clothing|23
Nordstrom_SS|So Low|23
Saks Fifth Avenue|Norma Kamali|23
Nordstrom|James Campbell|22
Kohls|Lily Of France|22
Bloomingdale's_SS|Alternative Apparel|22
Myntra|Russell Athletic|22
Bluefly|Jala Clothing|22
Sears|Ryka|22
Farfetch|Lareida|22
Farfetch|Valentino|22
Farfetch|Wildfox Couture|22
Shopbop|We Are Handsome|22
Lord & Taylor|Alternative Apparel|22
Walmart|Cliff Keen|22
Saks Fifth Avenue|Splendid Mills|22
